TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
360241,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,681WAL,2000,HONDA,ACCORD,BLACK,,02122019,1413,"(41.7559173412977, -72.7100774052944)"
360242,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2004,HONDA,ACCORD,GRAY,,02122019,1413,"(41.7561273619849, -72.7065082095127)"
360393,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AL25486,2008,INFINITI,FX35,BLACK,,02122019,2057,"(41.7500466390677, -72.7004869513479)"
360395,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,MA,S59616,2012,TOYOTA,TACOMA,WHITE,,02122019,2057,"(41.7332040880812, -72.7068985794009)"
360269,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,VA,VPC2502,2004,HONDA,VAN,GRAY,,02122019,1554,"(41.7383351244235, -72.6800420212777)"
360268,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,1AGDP6,2005,MAZDA,6I,TAN,,02122019,1554,"(41.7355215798777, -72.6795883305644)"
360298,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,VA,UUX7275,2013,KIA,,GRAY,,02122019,1658,"(41.7649800105149, -72.7136358335396)"
360180,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AT25997,2006,CHEVY,EQUINOX,WHITE,,02122019,1349,"(41.7794145822459, -72.6838471112878)"
360177,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AM73289,2001,CHEVY,MALIBU,BLUE,,02122019,1349,"(41.7865105362793, -72.6850099957369)"
360176,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AM54568,2005,PONTIAC,G6,GREEN,,02122019,1349,"(41.7863095790916, -72.6847424302733)"
360299,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,NJ,N15BSC,2009,NISSAN,MURANO,RED,,02122019,1658,"(41.7633924919303, -72.7117219418109)"
360307,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AL05743,2018,CHEVROLET,EQUINOX,RED,,02122019,1659,"(41.7629742853901, -72.6924195212016)"
360296,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AM72647,1998,TOYOTA,COROLLA LE,GOLD,,02122019,1658,"(41.7692850152541, -72.7138824690664)"
360297,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AP63253,2010,KIA,OPTIMA LX,BLACK,,02122019,1658,"(41.7666954497672, -72.7139447921448)"
360423,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,RI,TU228,2005,SUBA,FORESER,SILVER,,02122019,2200,"(41.7791038929452, -72.683952602261)"
360306,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CA,7LXN375,2004,JEEP,BTM,,,02122019,1659,"(41.7629742853901, -72.6924195212016)"
360300,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AC84589,2005,KIA,SORENTO,RED,,02122019,1658,"(41.7612676598043, -72.7024650254862)"
360179,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AF42482,2008,NISSAN,VERSE,RED,,02122019,1349,"(41.7794145822459, -72.6838471112878)"
360284,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,FL,DZJU78,2017,KIA,,GREEN,,02122019,1600,"(41.7716666313082, -72.6916701252268)"
360422,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AM65844,2000,KIA,SPORTAGE,GRAY,,02122019,2200,"(41.7791038929452, -72.683952602261)"
360424,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AM78167,2008,NISSAN,ALTIMA,BLACK,,02122019,2200,"(41.7979592533536, -72.6637785986455)"
360178,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AS51970,2004,KIA,AMANTI,BLACK,,02122019,1349,"(41.7794145822459, -72.6838471112878)"
360273,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,6AKBE3,2007,MAZDA,MAZDASPEED,SILVER,,02122019,1555,"(41.7351029673246, -72.6772849760975)"
360442,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2002,INFINITI,I35,WHITE,,02122019,2205,"(41.7764072295132, -72.6850845312648)"
360271,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,C100624,2000,CHEVY,SUBURBAN,TAN,,02122019,1555,"(41.7338545256113, -72.6773000889814)"
360444,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AH89215,2006,FORD,ESCAPE,GREEN,,02122019,2205,"(41.7761587726098, -72.6853393973245)"
360418,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AR82428,2000,NISSAN,MAXIMA,BLACK,,02122019,2134,"(41.7588441386468, -72.6860096735196)"
360222,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,3ATMX3,2007,DODGE,NITRO,GOLD,,02122019,1406,"(41.7772068599392, -72.6850283762918)"
360412,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,1998,FORD,EXPEDITION,,,02122019,2133,"(41.7594769612274, -72.6771495562138)"
360443,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AN44413,2006,DODGE,CARAVAN,BLUE,,02122019,2205,"(41.7764072295132, -72.6850845312648)"
360272,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AC43660,2002,NISSAN,MAX,BLUE,,02122019,1555,"(41.7338545256113, -72.6773000889814)"
360417,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,ME,55775Z,0000,,,,,02122019,2134,"(41.7602983570347, -72.6858366879245)"
360274,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,2ATHR9,2011,HONDA,CIVIC,BLACK,,02122019,1555,"(41.7351029673246, -72.6772849760975)"
360419,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,AL,3AZ8216,2018,HYUNDAI,SANTA FE,GRAY,,02122019,2134,"(41.7630052006892, -72.688108488264)"
360452,,,860-947-3062,CT,AJ92876,2003,OLDSMOBILE,SILHOUETTE,BROWN,,02132019,0834,"(41.7998508542586, -72.6612843451518)"
